difficulty,n,accuracy,mean_confidence,overconfidence_gap,ece,brier
easy,385,0.6727272727272727,0.849662337662338,0.17693506493506528,0.1769350649350651,0.24538545454545455
medium,384,0.6588541666666666,0.8488281250000002,0.18997395833333353,0.18997395833333341,0.24553776041666664
hard,384,0.4609375,0.7921093750000002,0.3311718750000002,0.3311718750000001,0.34794453125
